case_id,home_slots,mean_before,mean_after,radius_before,radius_after,signature,exact_home_after
baseline,"[9, 12, 13]",2.75,0.0,5,0,True,True
source_rot_plus_1,"[9, 12, 13]",2.5,0.0,5,0,True,True
source_rot_plus_2,"[9, 12, 13]",1.75,0.0,4,0,True,True
source_rot_plus_3,"[9, 12, 13]",0.75,0.0,3,0,True,True
source_rot_plus_4,"[9, 12, 13]",1.0,0.0,2,0,True,True
source_rot_plus_5,"[9, 12, 13]",1.0,0.0,1,0,True,True
target_rot_plus_1,"[9, 12, 13]",2.75,0.5,5,1,True,False
target_rot_plus_2,"[9, 12, 13]",2.75,1.25,5,2,True,False
target_rot_plus_3,"[9, 12, 13]",2.75,1.75,5,3,True,False
target_rot_plus_4,"[9, 12, 13]",2.75,2.5,5,4,True,False
target_rot_plus_5,"[9, 12, 13]",2.75,3.5,5,5,False,False
home_rot_plus_1,"[10, 13, 14]",3.25,0.75,4,1,True,False
home_rot_plus_2,"[11, 14, 0]",3.75,1.25,5,2,True,False
home_rot_plus_3,"[12, 0, 1]",3.75,1.0,5,3,True,False
home_rot_plus_4,"[13, 1, 2]",3.25,1.5,4,4,True,False
home_rot_plus_5,"[14, 2, 3]",2.75,2.5,5,5,True,False
drop_row_0,"[9, 12, 13]",2.4285714285714284,0.0,5,0,True,True
drop_row_1,"[9, 12, 13]",3.142857142857143,0.0,5,0,True,True
drop_row_2,"[9, 12, 13]",2.7142857142857144,0.0,5,0,True,True
drop_row_3,"[9, 12, 13]",2.7142857142857144,0.0,5,0,True,True
drop_row_4,"[9, 12, 13]",2.4285714285714284,0.0,5,0,True,True
drop_row_5,"[9, 12, 13]",3.142857142857143,0.0,5,0,True,True
drop_row_6,"[9, 12, 13]",2.7142857142857144,0.0,5,0,True,True
drop_row_7,"[9, 12, 13]",2.7142857142857144,0.0,5,0,True,True
