i,pair_key,source_pair,source_root_slot,source_limit_transition,source_side_gap_signature,broken_ladder,phase_ladder_values,inside_moving_endpoint,outside_moving_endpoint,anchor,root,parsed_slot_set,parsed_slot_count
0,,,,,,,,,,,,,0
1,,,,,,,,,,,,,0
2,,,,,,,,,,,,,0
3,,,,,,,,,,,,,0
4,,,,,,,,,,,,,0
5,,,,,,,,,,,,,0
6,,,,,,,,,,,,,0
7,,,,,,,,,,,,,0
8,,,,,,,,,,,,,0
9,,,,,,,,,,,,,0
10,,,,,,,,,,,,,0
11,,,,,,,,,,,,,0
12,,,,,,,,,,,,,0
13,,,,,,,,,,,,,0
14,,,,,,,,,,,,,0
15,,,,,,,,,,,,,0
16,,,,,,,,,,,,,0
17,,,,,,,,,,,,,0
18,,,,,,,,,,,,,0
19,,,,,,,,,,,,,0
20,,,,,,,,,,,,,0
21,,,,,,,,,,,,,0
22,,,,,,,,,,,,,0
23,,,,,,,,,,,,,0
24,,,,,,,,,,,,,0
25,,,,,,,,,,,,,0
26,,,,,,,,,,,,,0
27,,,,,,,,,,,,,0
28,,,,,,,,,,,,,0
29,,,,,,,,,,,,,0
30,,,,,,,,,,,,,0
31,,,,,,,,,,,,,0
32,,,,,,,,,,,,,0
33,,,,,,,,,,,,,0
34,,,,,,,,,,,,,0
35,,,,,,,,,,,,,0
36,,,,,,,,,,,,,0
37,,,,,,,,,,,,,0
38,,,,,,,,,,,,,0
39,,,,,,,,,,,,,0
40,,,,,,,,,,,,,0
41,,,,,,,,,,,,,0
42,,,,,,,,,,,,,0
43,,,,,,,,,,,,,0
44,,,,,,,,,,,,,0
45,,,,,,,,,,,,,0
46,,,,,,,,,,,,,0
47,,,,,,,,,,,,,0
48,,,,,,,,,,,,,0
49,,,,,,,,,,,,,0
50,06_09,06_09,,23->24,"[9,11]","[3, 9, 6, 12]","[3, 6, 9, 12]",9,,,,3 6 9 11 12,5
51,06_09,06_09,,23->24,"[9,11]","[3, 9, 6, 12]","[3, 6, 9, 12]",9,,,,3 6 9 11 12,5
52,06_09,06_09,,23->24,"[9,11]","[3, 9, 6, 12]","[3, 9, 6, 12]",6,,,,3 6 9 11 12,5
53,06_09,06_09,,23->24,"[9,11]","[3, 9, 6, 12]","[3, 9, 6, 12]",6,,,,3 6 9 11 12,5
54,06_09,06_09,,23->24,,,"[3, 6, 9, 12]",6,,,,3 6 9 12,4
55,06_09,06_09,,23->24,,,"[3, 6, 9, 12]",6,,,,3 6 9 12,4
56,06_09,06_09,,23->24,,,"[3, 6, 9, 12]",6,,,,3 6 9 12,4
57,06_09,06_09,,23->24,,,"[3, 6, 9, 12]",6,,,,3 6 9 12,4
58,06_09,06_09,,23->24,,,"[3, 9, 6, 12]",9,,,,3 6 9 12,4
59,06_09,06_09,,23->24,,,"[3, 9, 6, 12]",9,,,,3 6 9 12,4
60,06_09,06_09,,23->24,,,"[3, 6, 9, 12]",6,,,,3 6 9 12,4
61,06_09,06_09,,23->24,,,"[3, 6, 9, 12]",6,,,,3 6 9 12,4
62,06_09,06_09,,23->24,,,"[3, 9, 6, 12]",9,,,,3 6 9 12,4
63,06_09,06_09,,23->24,,,"[3, 9, 6, 12]",9,,,,3 6 9 12,4
64,06_09,06_09,,23->24,,,"[3, 6, 9, 12]",6,,,,3 6 9 12,4
65,06_09,06_09,,23->24,,,"[3, 6, 9, 12]",6,,,,3 6 9 12,4
66,06_09,06_09,,23->24,,,"[3, 6, 9, 12]",6,,,,3 6 9 12,4
67,06_09,06_09,,23->24,,,"[3, 6, 9, 12]",6,,,,3 6 9 12,4
68,06_09,,,,,"[3, 9, 6, 12]",,9,,,,3 6 9 12,4
69,06_09,,,,,"[3, 9, 6, 12]",,6,,,,3 6 9 12,4
70,06_09,,,,,"[3, 6, 9, 12]",,6,,,,3 6 9 12,4
71,06_09,,,,,,,,,,,6 9,2
72,06_09,06_09,,23->24,,"[3, 9, 6, 12]",,6,,,,3 6 9 12,4
73,06_09,06_09,,23->24,,"[3, 9, 6, 12]",,9,,,,3 6 9 12,4
74,06_09,,,,,,,6,,,,6 9,2
75,06_09,06_09,,23->24,"[9,11]","[3, 9, 6, 12]","[3, 6, 9, 12]",9,,,,3 6 9 11 12,5
