priority_score,priority,project,path,kind,matched_terms,status
9,high,19-thalean-gravity-finite-tests,19-thalean-gravity-finite-tests/artifacts/json/010_holonomy_return_compression_audit.json,artifacts/json,compression,candidate_source
8,medium,31-null-well-surface-inversion,31-null-well-surface-inversion/artifacts/json/registry_surface_minimal_boundary_theorem_candidate_009.v1.json,artifacts/json,surface;boundary,candidate_source
7,medium,31-null-well-surface-inversion,31-null-well-surface-inversion/notes/g900_null_well_surface_inversion_probe_001.md,notes,null_well;surface,candidate_source
6,medium,31-null-well-surface-inversion,31-null-well-surface-inversion/artifacts/json/registry_surface_bounded_elimination_boundary_lemma_013.v1.json,artifacts/json,surface;boundary,candidate_source
6,medium,31-null-well-surface-inversion,31-null-well-surface-inversion/artifacts/json/registry_surface_bounded_inversion_theorem_candidate_016.v1.json,artifacts/json,surface,candidate_source
6,medium,31-null-well-surface-inversion,31-null-well-surface-inversion/artifacts/json/registry_surface_elimination_boundary_008.v1.json,artifacts/json,surface;boundary,candidate_source
6,medium,31-null-well-surface-inversion,31-null-well-surface-inversion/artifacts/json/registry_surface_inversion_realization_audit_015.v1.json,artifacts/json,surface,candidate_source
6,medium,31-null-well-surface-inversion,31-null-well-surface-inversion/artifacts/json/registry_surface_inversion_vocabulary_ledger_014.v1.json,artifacts/json,surface,candidate_source
6,medium,31-null-well-surface-inversion,31-null-well-surface-inversion/artifacts/json/registry_surface_minimal_boundary_leave_one_out_010.v1.json,artifacts/json,surface;boundary,candidate_source
6,medium,31-null-well-surface-inversion,31-null-well-surface-inversion/artifacts/json/registry_surface_prefix_dependency_audit_012.v1.json,artifacts/json,surface,candidate_source
6,medium,31-null-well-surface-inversion,31-null-well-surface-inversion/artifacts/json/registry_surface_primary_ledger_anchor_006.v1.json,artifacts/json,surface,candidate_source
6,medium,31-null-well-surface-inversion,31-null-well-surface-inversion/artifacts/json/registry_surface_role_specific_obligation_audit_011.v1.json,artifacts/json,surface,candidate_source
6,medium,31-null-well-surface-inversion,31-null-well-surface-inversion/artifacts/json/surface_target_ledger_001.v1.json,artifacts/json,surface,candidate_source
