path,candidate_transport,has_transport,has_information,has_return_cell,has_receipt,has_admitted
receipts/g900_discrete_information_transport_contract_001.v1.json,True,True,True,False,True,True
receipts/g900_return_cell_bounded_information_transport_admission_007.v1.json,True,True,True,True,True,True
receipts/g900_return_cell_carrier_incidence_packet_scout_002.v1.json,False,True,False,True,True,True
receipts/g900_return_cell_channel_admission_gate_audit_004.v1.json,True,True,True,True,True,True
receipts/g900_return_cell_channel_preview_boundary_audit_001.v1.json,False,True,False,True,True,True
receipts/g900_return_cell_conserved_packet_scout_001.v1.json,False,True,False,True,True,True
receipts/g900_return_cell_information_flux_witness_010.v1.json,True,True,True,True,True,True
receipts/g900_return_cell_one_step_information_transport_support_audit_006.v1.json,True,True,True,True,True,True
receipts/g900_return_cell_packet_successor_rule_scout_003.v1.json,False,True,False,True,True,True
receipts/g900_return_cell_permission_channel_admission_005.v1.json,True,True,True,True,True,True
receipts/g900_return_cell_transport_checkpoint_009.v1.json,True,True,True,True,True,True
receipts/g900_return_cell_transport_theorem_note_011.v1.json,True,True,True,True,True,False
receipts/g900_transport_admission_hypothesis_provenance_audit_023.v1.json,True,True,True,False,True,True
receipts/g900_transport_candidate_family_census_014.v1.json,True,True,True,True,True,True
receipts/g900_transport_candidate_family_census_scaffold_013.v1.json,True,True,True,False,True,True
receipts/g900_transport_census_phase_checkpoint_017.v1.json,True,True,True,True,True,True
receipts/g900_transport_choice_apparatus_checkpoint_031.v1.json,True,True,True,False,True,True
receipts/g900_transport_choice_apparatus_theorem_note_032.v1.json,True,True,True,False,True,True
receipts/g900_transport_choice_construction_context_family_census_034.v1.json,True,True,True,False,True,True
receipts/g900_transport_choice_constructive_provenance_search_033.v1.json,True,True,True,False,True,True
receipts/g900_transport_choice_f0001_anchor_source_probe_051.v1.json,True,True,True,False,True,True
receipts/g900_transport_choice_f0001_fingerprint_cause_probe_040.v1.json,True,True,True,False,True,True
receipts/g900_transport_choice_f0001_generator_definition_flag_056.v1.json,True,True,True,False,True,True
receipts/g900_transport_choice_f0001_missing_prefix_edge_probe_037.v1.json,True,True,True,False,True,True
receipts/g900_transport_choice_f0001_permission_denial_probe_038.v1.json,True,True,True,False,True,True
receipts/g900_transport_choice_f0001_pre_role_seam_source_search_055.v1.json,True,True,True,False,True,True
receipts/g900_transport_choice_f0001_return_hub_seam_source_probe_054.v1.json,True,True,True,False,True,True
receipts/g900_transport_choice_f0001_root_smoke_generator_probe_045.v1.json,True,True,True,False,True,True
receipts/g900_transport_choice_f0001_root_smoke_signature_mechanism_probe_044.v1.json,True,True,True,False,True,True
receipts/g900_transport_choice_f0001_root_smoke_slot14_anatomy_046.v1.json,True,True,True,False,True,True
receipts/g900_transport_choice_f0001_seam_plateau_checkpoint_057.v1.json,True,True,True,False,True,True
receipts/g900_transport_choice_f0001_shell_cluster_rule_probe_042.v1.json,True,True,True,False,True,True
receipts/g900_transport_choice_f0001_shell_cluster_source_field_probe_043.v1.json,True,True,True,False,True,True
receipts/g900_transport_choice_f0001_shell_position_cause_probe_041.v1.json,True,True,True,False,True,True
receipts/g900_transport_choice_f0001_slot14_boundary14_origin_probe_048.v1.json,True,True,True,False,True,True
receipts/g900_transport_choice_f0001_slot14_boundary_carrier_choice_probe_049.v1.json,True,True,True,False,True,True
receipts/g900_transport_choice_f0001_slot14_edgehit18_origin_probe_047.v1.json,True,True,True,False,True,True
receipts/g900_transport_choice_f0001_slot14_hub_leaf_source_probe_050.v1.json,True,True,True,False,True,True
receipts/g900_transport_choice_f0001_source_rule_probe_036.v1.json,True,True,True,False,True,True
receipts/g900_transport_choice_f0001_strength_native_probe_052.v1.json,True,True,True,False,True,True
receipts/g900_transport_choice_f0001_visibility_source_anatomy_039.v1.json,True,True,True,False,True,True
receipts/g900_transport_choice_f0001_weak_incident_edge_probe_053.v1.json,True,True,True,False,True,True
receipts/g900_transport_choice_family_source_law_probe_035.v1.json,True,True,True,False,True,True
receipts/g900_transport_deferred_candidate_gate_audit_020.v1.json,True,True,True,False,True,True
receipts/g900_transport_deferred_frontier_symmetry_census_019.v1.json,True,True,True,False,True,True
receipts/g900_transport_deferred_gate_frontier_full_audit_018b.v1.json,True,True,True,False,True,True
receipts/g900_transport_deferred_gate_frontier_worklist_018a.v1.json,True,True,True,False,True,True
receipts/g900_transport_family_status_question_012.v1.json,True,True,True,True,True,True
receipts/g900_transport_frontier_choice_apparatus_protocol_027.v1.json,True,True,True,False,True,True
receipts/g900_transport_frontier_choice_function_search_029.v1.json,True,True,True,False,True,True
receipts/g900_transport_frontier_choice_function_stress_test_030.v1.json,True,True,True,False,True,True
receipts/g900_transport_frontier_choice_variable_inventory_028.v1.json,True,True,True,False,True,True
receipts/g900_transport_ledger_static_snapshot_008e.v1.json,False,True,False,False,True,True
receipts/g900_transport_pair_selector_admission_hypothesis_audit_022.v1.json,True,True,True,False,True,True
receipts/g900_transport_permission_frontier_checkpoint_025.v1.json,True,True,True,False,True,True
receipts/g900_transport_permission_frontier_theorem_note_026.v1.json,True,True,True,False,True,True
receipts/g900_transport_permission_gate_family_filter_016.v1.json,True,True,True,False,True,True
receipts/g900_transport_permission_sharpness_audit_021.v1.json,True,True,True,False,True,True
receipts/g900_transport_selector_coupling_law_audit_024.v1.json,True,True,True,True,True,True
receipts/g900_transport_successor_rule_family_filter_015.v1.json,True,True,True,True,True,True
artifacts/json/g900-six-nine-ladder-3-6-9-12-source-derivation-audit-001.v1.json,False,True,False,False,True,True
artifacts/json/g900-six-nine-ladder-3-6-9-12-source-provenance-audit-002.v1.json,False,True,False,False,True,True
artifacts/json/g900_0309_vs_0609_2324_fork_audit_001.v1.json,False,True,False,False,False,True
artifacts/json/g900_all_phase_ladder_spectrum_audit_001.v1.json,False,True,False,False,True,False
artifacts/json/g900_anomaly_marker_event_gate_001.v1.json,False,False,False,True,True,True
